S003,S007,S017,S019,X001,X003,X007,X011,X025A,X047,C001,D057,D063_B
DEU,2760600001,1.7555674910920127,1.287072940683294,1,71,1,4,NA,6,2,2,1
DEU,2760600002,3.3629025193559663,2.4654710552463097,1,31,1,4,NA,6,2,2,2
DEU,2760600003,2.36026182358108,1.7303972313644282,1,49,1,2,NA,5,2,3,2
DEU,2760600004,1.1705147271764358,0.8581486269621964,1,23,6,0,NA,4,3,3,1
DEU,2760600005,1.1705147271764358,0.8581486269621964,1,25,6,0,NA,NA,3,NA,1
DEU,2760600006,0.7224414440936889,0.5296491525613556,1,43,1,1,NA,6,3,1,1
DEU,2760600007,0.9515930774510754,0.6976488837617855,1,74,1,2,NA,5,1,2,1
DEU,2760600008,0.7077102676635711,0.5188491698413278,1,58,1,3,NA,10,2,2,1
DEU,2760600009,0.6773272162764534,0.49657420548127085,2,35,6,0,NA,10,3,1,1
DEU,2760600010,0.2990224215641253,0.21922464924056106,2,56,1,2,NA,7,3,3,1
DEU,2760600011,1.364782116348613,1.000573399082561,2,83,5,2,NA,3,3,1,1
DEU,2760600012,0.7077102676635711,0.5188491698413278,1,54,1,3,NA,4,2,3,1
DEU,2760600013,0.9515930774510754,0.6976488837617855,1,25,6,0,NA,4,3,3,1
DEU,2760600014,0.7077102676635711,0.5188491698413278,1,58,1,0,NA,10,2,4,1
DEU,2760600015,0.6985032823947476,0.5120991806413105,2,52,1,3,NA,10,3,3,1
DEU,2760600016,1.033944445688886,0.7580237871619399,1,25,6,0,NA,10,2,2,1
DEU,2760600017,0.9515930774510754,0.6976488837617855,1,76,5,4,NA,5,2,2,1
DEU,2760600018,0.5839274657160544,0.42809931504109555,1,28,6,0,NA,7,2,3,1
DEU,2760600019,1.2560373903401745,0.9208485266423566,2,71,1,2,NA,8,3,3,1
DEU,2760600020,0.2835751462797657,0.20789966736053203,1,35,1,2,NA,6,2,3,1
DEU,2760600021,0.21114686216502038,0.15479975232039617,2,62,1,4,NA,4,2,4,1
DEU,2760600022,0.20705486871220988,0.15179975712038846,1,48,1,2,NA,3,2,1,2
DEU,2760600023,0.23109533024747142,0.1694247289204336,1,55,1,3,NA,4,2,2,1
DEU,2760600024,0.491550713518858,0.3603744234009223,2,60,5,1,NA,3,2,1,1
DEU,2760600025,0.23109533024747142,0.1694247289204336,1,52,1,1,NA,3,2,1,1
DEU,2760600026,0.491550713518858,0.3603744234009223,2,66,1,0,NA,5,2,3,1
DEU,2760600027,0.15017615971814435,0.11009982384028179,1,62,1,2,NA,2,2,3,1
DEU,2760600028,0.3048535122343802,0.22349964240057196,2,30,6,1,NA,2,2,3,1
DEU,2760600029,0.40306135510183155,0.2954995272007563,2,75,5,1,NA,4,2,1,1
DEU,2760600030,0.4820368287410736,0.3533994345609044,1,46,2,2,NA,5,2,3,2
DEU,2760600031,0.16408893745769992,0.12029980752030786,2,42,1,1,NA,5,2,3,1
DEU,2760600032,0.4980979030433547,0.3651744157209345,1,29,6,0,NA,4,3,2,1
DEU,2760600033,0.3015799174721318,0.22109964624056583,1,73,1,1,NA,6,2,1,1
DEU,2760600034,0.1479255633190986,0.10844982648027755,1,29,1,0,NA,4,3,1,1
DEU,2760600035,0.18945929686512486,0.13889977776035548,2,74,1,2,NA,7,1,1,1
DEU,2760600036,0.23109533024747142,0.1694247289204336,2,64,1,1,NA,5,1,4,1
DEU,2760600037,0.18945929686512486,0.13889977776035548,2,76,1,3,NA,NA,3,4,1
DEU,2760600038,0.0827605675830918,0.06067490292015528,1,61,1,2,NA,3,1,4,1
DEU,2760600039,0.1251126998196802,0.09172485324023476,2,56,1,2,NA,6,2,4,1
DEU,2760600040,0.11375741798813112,0.08339986656021343,1,35,6,2,NA,1,2,1,3
DEU,2760600041,0.18945929686512486,0.13889977776035548,2,78,5,1,NA,2,2,4,1
DEU,2760600042,0.18945929686512486,0.13889977776035548,2,71,3,2,NA,1,2,1,1
DEU,2760600043,0.14178757313988286,0.10394983368026602,1,72,1,1,NA,2,3,1,1
DEU,2760600044,0.12726099638240568,0.09329985072023878,1,54,1,1,NA,5,2,1,1
DEU,2760600045,0.14178757313988286,0.10394983368026602,1,75,1,0,NA,2,2,4,1
DEU,2760600046,0.0771340765854774,0.05654990952014473,2,43,6,1,NA,1,2,4,1
DEU,2760600047,0.0615845014647976,0.045149927760115546,2,36,6,0,NA,3,2,4,2
DEU,2760600048,0.24214371257005968,0.17752471596045433,2,28,1,0,NA,5,2,4,1
DEU,2760600049,0.4099154441352891,0.3005245191607691,2,61,1,0,NA,4,2,4,1
DEU,2760600050,0.5609100025439955,0.41122434204105235,2,19,6,0,NA,6,2,3,1
DEU,2760600051,1.030363951417677,0.7553987913619332,2,70,2,0,NA,6,2,1,1
DEU,2760600052,0.5981471429645707,0.43852429836112217,2,44,1,1,NA,7,2,3,1
DEU,2760600053,1.1195694086889452,0.8207986867221005,2,71,2,2,NA,6,2,1,1
DEU,2760600054,0.7258173386922575,0.5321241486013618,2,63,1,1,NA,5,2,3,1
DEU,2760600055,0.840495455207271,0.616199014081577,1,65,1,1,NA,6,2,2,1
DEU,2760600056,0.9658127546995917,0.7080738670818121,1,43,1,2,NA,4,2,4,1
DEU,2760600057,0.848270242767611,0.6218990049615917,1,24,6,0,NA,4,2,2,3
DEU,2760600058,1.9629292593131835,1.4390976974436829,1,60,3,1,NA,5,2,2,1
DEU,2760600059,4.252399596160642,3.117595011847978,1,55,1,3,NA,5,2,1,2
DEU,2760600060,3.7806950508879154,2.771770565167093,2,25,2,1,NA,5,2,1,1
DEU,2760600061,1.9810363303418699,1.4523726762037168,1,29,6,0,NA,1,2,1,1
DEU,2760600062,3.7806950508879154,2.771770565167093,2,19,6,0,NA,6,2,4,1
DEU,2760600063,4.032045748726799,2.9560452703275653,2,40,1,1,NA,4,2,3,1
DEU,2760600064,1.8230853830633857,1.3365728614834207,1,72,3,0,NA,8,2,3,1
DEU,2760600065,1.6952105876630583,1.2428230114831806,2,64,5,4,NA,5,2,2,3
DEU,2760600066,4.6304997912003305,3.3947945683286878,2,85,5,0,NA,4,2,1,1
DEU,2760600067,3.2284805344311422,2.3669212129260573,1,80,1,1,NA,1,2,NA,1
DEU,2760600068,2.4739169417328912,1.8137220980446416,2,43,2,2,NA,5,2,4,1
DEU,2760600069,2.3197510883982564,1.7006972788843522,2,28,1,0,NA,6,2,2,1
DEU,2760600070,2.2170420527327135,1.6253973993641593,1,62,1,1,NA,4,2,3,1
DEU,2760600071,3.646477665635732,2.6733707226068417,1,79,3,1,NA,2,2,2,1
DEU,2760600072,4.362678819713885,3.1984448824881855,2,52,2,1,NA,6,2,1,2
DEU,2760600073,2.0590911054542294,1.5095975846438632,1,75,1,2,NA,8,2,2,1
DEU,2760600074,0.669347829043473,0.49072421484125583,1,44,1,2,NA,8,3,NA,1
DEU,2760600075,0.7140528575154274,0.5234991624013396,2,88,5,4,NA,7,2,4,1
DEU,2760600076,0.675588119059009,0.49529920752126755,2,43,1,2,NA,5,2,3,2
DEU,2760600077,1.264528276754756,0.9270735166823726,2,77,3,3,NA,3,2,1,1
DEU,2760600078,0.9493424810520296,0.6959988864017812,1,62,3,2,NA,5,3,1,1
DEU,2760600079,0.8816199894080162,0.6463489658416541,1,91,5,NA,NA,2,2,1,1
DEU,2760600080,1.09020935566503,0.7992737211620454,1,27,6,0,NA,2,2,4,1
