"SOURCE","Source","BRANCH","Branch","TYPEXP","Type of Expenditure","TYPROG","Type of Programme","UNIT","Measure","COUNTRY","Country","YEAR","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"10","Public","5","Family","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","AUS","Australia","2000","2000","PC","Percentage","0","Units",,,2.908,,
"10","Public","5","Family","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","AUS","Australia","2001","2001","PC","Percentage","0","Units",,,2.947,,
"10","Public","5","Family","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","AUS","Australia","2002","2002","PC","Percentage","0","Units",,,2.796,,
"10","Public","5","Family","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","AUS","Australia","2003","2003","PC","Percentage","0","Units",,,3.202,,
"10","Public","5","Family","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","AUS","Australia","2004","2004","PC","Percentage","0","Units",,,2.878,,
"10","Public","5","Family","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","AUS","Australia","2005","2005","PC","Percentage","0","Units",,,2.749,,
"10","Public","5","Family","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","AUS","Australia","2006","2006","PC","Percentage","0","Units",,,2.587,,
"10","Public","5","Family","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","AUS","Australia","2007","2007","PC","Percentage","0","Units",,,2.442,,
"10","Public","5","Family","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","AUS","Australia","2008","2008","PC","Percentage","0","Units",,,3.28,,
"10","Public","5","Family","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","AUS","Australia","2009","2009","PC","Percentage","0","Units",,,2.669,,
"10","Public","5","Family","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","AUS","Australia","2010","2010","PC","Percentage","0","Units",,,2.559,,
"10","Public","5","Family","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","AUS","Australia","2011","2011","PC","Percentage","0","Units",,,2.572,,
"10","Public","5","Family","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","AUS","Australia","2012","2012","PC","Percentage","0","Units",,,2.751,,
"10","Public","5","Family","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","AUS","Australia","2013","2013","PC","Percentage","0","Units",,,2.694,,
"10","Public","5","Family","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","AUS","Australia","2014","2014","PC","Percentage","0","Units",,,2.74,,
"10","Public","5","Family","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","AUS","Australia","2015","2015","PC","Percentage","0","Units",,,2.654,,
"10","Public","5","Family","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","AUT","Austria","2000","2000","PC","Percentage","0","Units",,,2.929,,
"10","Public","5","Family","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","AUT","Austria","2001","2001","PC","Percentage","0","Units",,,2.856,,
"10","Public","5","Family","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","AUT","Austria","2002","2002","PC","Percentage","0","Units",,,2.895,,
"10","Public","5","Family","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","AUT","Austria","2003","2003","PC","Percentage","0","Units",,,3.012,,
"10","Public","5","Family","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","AUT","Austria","2004","2004","PC","Percentage","0","Units",,,2.963,,
