"","COUNTRY_(ISO)","CODE","YEAR","ML_WKS","ML_BEF","ML_AFT","ML_PAY","PL_WKS","PL_PAY","CC_WKS","CC_PAY","X12","X13","X14"
"1","AU",1,1960,0,"0","0",0,0,0,0,0,NA,NA,NA
"2","AU",1,1961,0,"0","0",0,0,0,0,0,NA,NA,NA
"3","AU",1,1962,0,"0","0",0,0,0,0,0,NA,NA,NA
"4","AU",1,1963,0,"0","0",0,0,0,0,0,NA,NA,NA
"5","AU",1,1964,0,"0","0",0,0,0,0,0,NA,NA,NA
"6","AU",1,1965,0,"0","0",0,0,0,0,0,NA,NA,NA
"7","AU",1,1966,0,"0","0",0,0,0,0,0,NA,NA,NA
"8","AU",1,1967,0,"0","0",0,0,0,0,0,NA,NA,NA
"9","AU",1,1968,0,"0","0",0,0,0,0,0,NA,NA,NA
"10","AU",1,1969,0,"0","0",0,0,0,0,0,NA,NA,NA
"11","AU",1,1970,0,"0","0",0,0,0,0,0,NA,NA,NA
"12","AU",1,1971,0,"0","0",0,0,0,0,0,NA,NA,NA
"13","AU",1,1972,0,"0","0",0,0,0,0,0,NA,NA,NA
"14","AU",1,1973,0,"0","0",0,0,0,0,0,NA,NA,NA
"15","AU",1,1974,0,"0","0",0,0,0,0,0,NA,NA,NA
"16","AU",1,1975,0,"0","0",0,0,0,0,0,NA,NA,NA
"17","AU",1,1976,0,"0","0",0,0,0,0,0,NA,NA,NA
"18","AU",1,1977,0,"0","0",0,0,0,0,0,NA,NA,NA
"19","AU",1,1978,0,"0","0",0,0,0,0,0,NA,NA,NA
"20","AU",1,1979,0,"0","0",0,0,0,0,0,NA,NA,NA
"21","AU",1,1980,0,"0","0",0,0,0,0,0,NA,NA,NA
"22","AU",1,1981,0,"0","0",0,0,0,0,0,NA,NA,NA
"23","AU",1,1982,0,"0","0",0,0,0,0,0,NA,NA,NA
"24","AU",1,1983,0,"0","0",0,0,0,0,0,NA,NA,NA
"25","AU",1,1984,0,"0","0",0,0,0,0,0,NA,NA,NA
"26","AU",1,1985,0,"0","0",0,0,0,0,0,NA,NA,NA
"27","AU",1,1986,0,"0","0",0,0,0,0,0,NA,NA,NA
"28","AU",1,1987,0,"0","0",0,0,0,0,0,NA,NA,NA
"29","AU",1,1988,0,"0","0",0,0,0,0,0,NA,NA,NA
"30","AU",1,1989,0,"0","0",0,0,0,0,0,NA,NA,NA
"31","AU",1,1990,0,"0","0",0,0,0,0,0,NA,NA,NA
"32","AU",1,1991,0,"0","0",0,0,0,0,0,NA,NA,NA
"33","AU",1,1992,0,"0","0",0,0,0,0,0,NA,NA,NA
"34","AU",1,1993,0,"0","0",0,0,0,0,0,NA,NA,NA
"35","AU",1,1994,0,"0","0",0,0,0,0,0,NA,NA,NA
"36","AU",1,1995,0,"0","0",0,0,0,0,0,NA,NA,NA
"37","AU",1,1996,0,"0","0",0,0,0,0,0,NA,NA,NA
"38","AU",1,1997,0,"0","0",0,52,0,0,0,NA,NA,NA
"39","AU",1,1998,0,"0","0",0,52,0,0,0,NA,NA,NA
"40","AU",1,1999,0,"0","0",0,52,0,0,0,NA,NA,NA
"41","AU",1,2000,0,"0","0",0,52,0,0,0,NA,NA,NA
"42","AU",1,2001,0,"0","0",0,52,0,0,0,NA,NA,NA
"43","AU",1,2002,0,"0","0",0,52,0,0,0,NA,NA,NA
"44","AU",1,2003,0,"0","0",0,52,0,0,0,NA,NA,NA
"45","AU",1,2004,0,"0","0",0,52,0,0,0,NA,NA,NA
"46","AU",1,2005,0,"0","0",0,52,0,0,0,NA,NA,NA
"47","AU",1,2006,0,"0","0",0,52,0,0,0,NA,NA,NA
"48","AU",1,2007,0,"0","0",0,52,0,0,0,NA,NA,NA
"49","AU",1,2008,0,"0","0",0,52,0,0,0,NA,NA,NA
"50","AU",1,2009,0,"0","0",0,52,0,0,0,NA,NA,NA
"51","AU",1,2010,0,"0","0",0,52,0,0,0,NA,NA,NA
"52",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","AT",2,1960,12,"6","6",100,52,100,0,0,NA,NA,NA
"54","AT",2,1961,12,"6","6",100,52,100,0,0,NA,NA,NA
"55","AT",2,1962,12,"6","6",100,52,100,0,0,NA,NA,NA
"56","AT",2,1963,12,"6","6",100,52,100,0,0,NA,NA,NA
"57","AT",2,1964,12,"6","6",100,52,100,0,0,NA,NA,NA
"58","AT",2,1965,12,"6","6",100,52,100,0,0,NA,NA,NA
"59","AT",2,1966,12,"6","6",100,52,100,0,0,NA,NA,NA
"60","AT",2,1967,12,"6","6",100,52,100,0,0,NA,NA,NA
"61","AT",2,1968,12,"6","6",100,52,100,0,0,NA,NA,NA
"62","AT",2,1969,12,"6","6",100,52,100,0,0,NA,NA,NA
"63","AT",2,1970,12,"6","6",100,52,100,0,0,NA,NA,NA
"64","AT",2,1971,12,"6","6",100,52,100,0,0,NA,NA,NA
"65","AT",2,1972,12,"6","6",100,52,100,0,0,NA,NA,NA
"66","AT",2,1973,12,"6","6",100,52,100,0,0,NA,NA,NA
"67","AT",2,1974,16,"8","8",100,52,37.6,0,0,NA,NA,NA
"68","AT",2,1975,16,"8","8",100,52,37.6,0,0,NA,NA,NA
"69","AT",2,1976,16,"8","8",100,52,37.6,0,0,NA,NA,NA
"70","AT",2,1977,16,"8","8",100,52,37.6,0,0,NA,NA,NA
"71","AT",2,1978,16,"8","8",100,52,37.6,0,0,NA,NA,NA
"72","AT",2,1979,16,"8","8",100,52,37.6,0,0,NA,NA,NA
"73","AT",2,1980,16,"8","8",100,52,37.6,0,0,NA,NA,NA
"74","AT",2,1981,16,"8","8",100,52,37.6,0,0,NA,NA,NA
"75","AT",2,1982,16,"8","8",100,52,37.6,0,0,NA,NA,NA
"76","AT",2,1983,16,"8","8",100,52,37.6,0,0,NA,NA,NA
"77","AT",2,1984,16,"8","8",100,52,37.6,0,0,NA,NA,NA
"78","AT",2,1985,16,"8","8",100,52,37.6,0,0,NA,NA,NA
"79","AT",2,1986,16,"8","8",100,52,37.6,0,0,NA,NA,NA
"80","AT",2,1987,16,"8","8",100,52,37.6,0,0,NA,NA,NA
"81","AT",2,1988,16,"8","8",100,52,37.6,0,0,NA,NA,NA
"82","AT",2,1989,16,"8","8",100,52,37.6,0,0,NA,NA,NA
"83","AT",2,1990,16,"8","8",100,104,37.6,0,0,NA,NA,NA
"84","AT",2,1991,16,"8","8",100,104,37.6,0,0,NA,NA,NA
"85","AT",2,1992,16,"8","8",100,104,37.6,0,0,NA,NA,NA
"86","AT",2,1993,16,"8","8",100,104,37.6,0,0,NA,NA,NA
"87","AT",2,1994,16,"8","8",100,104,35,0,0,NA,NA,NA
"88","AT",2,1995,16,"8","8",100,104,35,0,0,NA,NA,NA
"89","AT",2,1996,16,"8","8",100,104,27.1,0,0,NA,NA,NA
"90","AT",2,1997,16,"8","8",100,104,27.1,0,0,NA,NA,NA
"91","AT",2,1998,16,"8","8",100,104,27.1,0,0,NA,NA,NA
"92","AT",2,1999,16,"8","8",100,104,27.1,0,0,NA,NA,NA
"93","AT",2,2000,16,"8","8",100,104,27.1,0,0,NA,NA,NA
"94","AT",2,2001,16,"8","8",100,104,27.1,0,0,NA,NA,NA
"95","AT",2,2002,16,"8","8",100,104,20.2,0,0,NA,NA,NA
