COUNTRY,YEAR,family_cash_allowances_pct_gdp,family_cash_leave_pct_gdp,family_cash_other_cash_pct_gdp,family_cash_total_pct_gdp,family_service_accomodation_pct_gdp,family_service_childcare_pct_gdp,family_service_other_services_pct_gdp,family_service_total_pct_gdp,family_total_total_pct_gdp
AUS,2000,2.179,0.031,0.103,2.314,NA,0.379,0.215,0.594,2.908
AUS,2001,2.183,0.029,0.108,2.32,NA,0.414,0.213,0.627,2.947
AUS,2002,2.024,0.027,0.108,2.159,NA,0.417,0.22,0.637,2.796
AUS,2003,2.451,0.026,0.1,2.577,NA,0.403,0.221,0.625,3.202
AUS,2004,2.076,0.086,0.076,2.238,NA,0.396,0.244,0.639,2.878
AUS,2005,1.967,0.091,0.06,2.118,NA,0.38,0.251,0.631,2.749
AUS,2006,1.839,0.112,0.048,1.999,NA,0.346,0.242,0.588,2.587
AUS,2007,1.662,0.108,0.037,1.807,NA,0.393,0.242,0.635,2.442
AUS,2008,2.426,0.115,0.03,2.571,NA,0.47,0.239,0.709,3.28
AUS,2009,1.81,0.11,0.022,1.942,NA,0.494,0.233,0.727,2.669
AUS,2010,1.67,0.131,0.014,1.814,NA,0.519,0.226,0.745,2.559
AUS,2011,1.617,0.163,0.015,1.794,NA,0.541,0.237,0.778,2.572
AUS,2012,1.782,0.143,0.012,1.936,NA,0.575,0.24,0.815,2.751
AUS,2013,1.72,0.127,0.01,1.858,NA,0.607,0.23,0.836,2.694
AUS,2014,1.71,0.119,0.009,1.838,NA,0.659,0.243,0.902,2.74
AUS,2015,1.608,0.125,0.008,1.74,NA,0.659,0.255,0.914,2.654
AUS,2016,1.368,0.122,0.006,1.496,NA,0.65,0.26,0.91,2.406
AUT,2000,1.929,0.347,0.243,2.519,0.114,0.268,0.029,0.41,2.929
AUT,2001,1.894,0.358,0.194,2.446,0.111,0.27,0.029,0.41,2.856
AUT,2002,1.912,0.379,0.191,2.483,0.112,0.27,0.031,0.412,2.895
AUT,2003,2.101,0.292,0.192,2.584,0.11,0.285,0.033,0.428,3.012
AUT,2004,2.164,0.165,0.208,2.537,0.11,0.283,0.033,0.426,2.963
AUT,2005,2.108,0.14,0.213,2.461,0.112,0.282,0.033,0.427,2.888
AUT,2006,2.008,0.136,0.202,2.346,0.11,0.286,0.034,0.429,2.775
AUT,2007,1.891,0.131,0.19,2.213,0.112,0.289,0.034,0.434,2.647
AUT,2008,1.937,0.134,0.184,2.255,0.115,0.309,0.034,0.459,2.713
AUT,2009,2.042,0.144,0.188,2.374,0.13,0.381,0.036,0.547,2.921
AUT,2010,1.986,0.152,0.186,2.323,0.135,0.453,0.043,0.63,2.953
AUT,2011,1.786,0.134,0.149,2.069,0.135,0.447,0.045,0.627,2.696
AUT,2012,1.731,0.131,0.139,2.001,0.137,0.466,0.038,0.641,2.642
AUT,2013,1.72,0.136,0.135,1.991,0.139,0.478,0.042,0.659,2.649
AUT,2014,1.656,0.138,0.132,1.926,0.141,0.5,0.041,0.682,2.608
AUT,2015,1.699,0.138,0.116,1.953,0.141,0.508,0.042,0.692,2.645
AUT,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA
BEL,2000,1.557,0.174,0,1.731,0.108,0.489,0.123,0.719,2.45
BEL,2001,1.555,0.18,0.001,1.736,0.117,0.582,0.12,0.819,2.555
BEL,2002,1.506,0.177,0.037,1.72,0.143,0.599,0.126,0.868,2.588
BEL,2003,1.514,0.192,0.04,1.746,0.152,0.616,0.133,0.901,2.647
BEL,2004,1.456,0.19,0.049,1.695,0.155,0.611,0.133,0.899,2.594
BEL,2005,1.434,0.194,0.043,1.671,0.159,0.608,0.136,0.904,2.574
BEL,2006,1.416,0.196,0.048,1.66,0.164,0.611,0.139,0.914,2.574
BEL,2007,1.462,0.196,0.048,1.706,0.167,0.609,0.152,0.928,2.634
BEL,2008,1.444,0.207,0.049,1.7,0.169,0.632,0.157,0.958,2.658
BEL,2009,1.531,0.22,0.059,1.81,0.187,0.647,0.183,1.017,2.828
BEL,2010,1.492,0.228,0.055,1.774,0.181,0.668,0.187,1.037,2.811
BEL,2011,1.491,0.236,0.058,1.785,0.179,0.671,0.201,1.05,2.835
BEL,2012,1.523,0.236,0.06,1.819,0.036,0.741,0.206,0.983,2.802
BEL,2013,1.53,0.241,0.059,1.831,0.036,0.773,0.21,1.02,2.85
BEL,2014,1.544,0.237,0.057,1.838,0.013,0.827,0.206,1.046,2.884
BEL,2015,1.504,0.231,0.051,1.786,0.002,0.817,0.218,1.037,2.823
CAN,2000,0.632,0.111,NA,0.743,NA,0.143,NA,0.143,0.886
CAN,2001,0.663,0.184,NA,0.846,NA,0.176,NA,0.176,1.022
CAN,2002,0.643,0.23,NA,0.873,NA,0.181,NA,0.181,1.054
CAN,2003,0.644,0.228,NA,0.872,NA,0.187,NA,0.187,1.059
CAN,2004,0.658,0.224,NA,0.882,NA,0.191,NA,0.191,1.073
CAN,2005,0.649,0.218,NA,0.867,NA,0.199,NA,0.199,1.065
CAN,2006,0.743,0.238,NA,0.981,NA,0.208,NA,0.208,1.189
CAN,2007,0.753,0.267,NA,1.02,NA,0.203,NA,0.203,1.223
CAN,2008,0.742,0.276,NA,1.018,NA,0.203,NA,0.203,1.221
CAN,2009,0.794,0.299,NA,1.094,NA,0.22,NA,0.22,1.314
CAN,2010,0.763,0.283,NA,1.046,NA,0.22,NA,0.22,1.266
CAN,2011,0.731,0.275,NA,1.006,NA,0.221,NA,0.221,1.227
CAN,2012,0.725,0.279,NA,1.004,NA,0.23,NA,0.23,1.234
CAN,2013,0.699,0.278,NA,0.976,NA,0.224,NA,0.224,1.2
CAN,2014,0.673,0.276,NA,0.949,NA,0.226,NA,0.226,1.175
CAN,2015,1.033,0.284,NA,1.317,NA,0.235,NA,0.235,1.552
CAN,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHE,2000,1.055,0.005,0.062,1.122,NA,0.25,NA,0.25,1.373
CHE,2001,1.057,0.008,0.06,1.126,NA,0.261,NA,0.261,1.387
CHE,2002,1.113,0.017,0.059,1.189,NA,0.287,NA,0.287,1.476
CHE,2003,1.127,0.018,0.062,1.206,NA,0.292,NA,0.292,1.498
CHE,2004,1.092,0.019,0.058,1.169,NA,0.287,NA,0.287,1.457
CHE,2005,1.071,0.091,0.055,1.217,NA,0.297,NA,0.297,1.515
CHE,2006,1.015,0.105,0.053,1.173,NA,0.292,NA,0.292,1.465
CHE,2007,0.967,0.102,0.05,1.118,NA,0.287,NA,0.287,1.405
CHE,2008,0.887,0.106,0.059,1.052,NA,0.28,0.018,0.297,1.349
CHE,2009,0.951,0.12,0.061,1.132,NA,0.303,0.024,0.327,1.458
CHE,2010,0.961,0.124,0.072,1.157,NA,0.294,0.029,0.323,1.48
CHE,2011,0.95,0.125,0.074,1.149,NA,0.305,0.033,0.337,1.487
CHE,2012,0.98,0.124,0.073,1.177,NA,0.319,0.04,0.36,1.537
CHE,2013,0.989,0.127,0.08,1.196,NA,0.327,0.042,0.369,1.565
CHE,2014,0.986,0.131,0.08,1.198,NA,0.378,0.042,0.42,1.618
CHE,2015,0.999,0.134,0.085,1.218,NA,0.454,0.045,0.498,1.717
CHL,2000,0.532,0.181,0,0.713,NA,0.249,0.177,0.426,1.139
CHL,2001,0.4,0.191,0,0.591,NA,0.245,0.176,0.421,1.011
CHL,2002,0.409,0.191,0,0.6,NA,0.244,0.179,0.423,1.022
CHL,2003,0.375,0.178,0,0.552,NA,0.256,0.189,0.444,0.997
CHL,2004,0.382,0.147,0,0.529,NA,0.279,0.168,0.448,0.977
CHL,2005,0.248,0.147,0,0.395,NA,0.268,0.173,0.442,0.836
CHL,2006,0.241,0.142,0,0.383,NA,0.259,0.177,0.435,0.819
CHL,2007,0.252,0.154,0,0.405,NA,0.305,0.238,0.543,0.948
CHL,2008,0.317,0.178,0,0.495,NA,0.368,0.287,0.655,1.15
CHL,2009,0.614,0.216,0,0.83,NA,0.456,0.388,0.844,1.674
CHL,2010,0.471,0.198,0,0.669,NA,0.429,0.382,0.811,1.48
CHL,2011,0.374,0.189,0.008,0.571,NA,0.4,0.333,0.734,1.304
CHL,2012,0.38,0.222,0.013,0.615,NA,0.409,0.344,0.752,1.368
CHL,2013,0.387,0.239,0.004,0.63,NA,0.449,0.331,0.78,1.41
CHL,2014,0.461,0.267,0.003,0.731,NA,0.468,0.328,0.795,1.526
CHL,2015,0.473,0.28,0.003,0.756,NA,0.548,0.397,0.946,1.701
